question,answer
痤疮的其他治疗,"痤疮的其他治疗（1）刺络拔罐法：大椎（在后背正中线上，第七颈椎棘突下凹陷中）、肺俞（在背部，当第3胸椎棘突下，旁开1.5寸）、委中（在腘横纹中点，当股二头肌腱与半腱肌肌腱的中间）与膈俞（在背中，当第7胸椎棘突下，旁开1.5寸）、风门（在背部，当第2胸椎棘突下，旁开1.5寸）、尺泽（在肘横纹中，肱二头肌腱桡侧凹陷处，微屈肘取穴）两组。用三棱针点刺其中一组出血后加拔火罐，两组穴位交替使用。或取双侧耳尖，用三棱针点刺，挤压出血5～8滴，再于大椎穴用三棱针点刺3～4下，用
闪火法拔罐，出血3～5mL。
（2）三棱针法 取身柱穴或周围丘疹样阳性反应点。常规消毒，用三棱针挑断皮下部分纤维组织，使之出血或流出黏液。7天1次。
""一定不要举例子"""
针灸对于痤疮效果怎么样,"针灸对本病有一定疗效。部分患者有自愈倾向，但易于复发。
""一定不要举例子"""
痤疮的注意事项,"均衡饮食，忌食辛辣刺激、糖类及高脂食物；多吃蔬菜水果，保持大
便通畅；保持良好的心理状态和规律的生活。
不可随意用手挤压，以免炎症扩散，遗留瘢痕。注意面部清洁，根据
皮肤油性或干性情况选用碱性香皂或洗面乳，保持毛囊皮脂腺导管通
畅；不宜选用油质化妆品，慎用防晒霜、遮盖霜及粉底等。
""一定不要举例子"""
斑秃是什么,"斑秃是以头皮部毛发突然发生圆形、椭圆形斑状脱落，局部皮肤正常，无自觉症状为临床表现的疾病。俗称“鬼剃头”“圆秃”。
""一定不要举例子"""
斑秃的定义,"斑秃是以头皮部毛发突然发生圆形、椭圆形斑状脱落，局部皮肤正常，无自觉症状为临床表现的疾病。俗称“鬼剃头”“圆秃”。
""一定不要举例子"""
斑秃好发人群,"斑秃好发人群以青年人多见。
""一定不要举例子"""
斑秃的病因,"西医学认为，本病可能与自身免疫、遗传、内分泌功能失调有关；精神因素是诱发及促使本病加重的重要原因之一。
斑秃属中医学“头风”范畴。其发生多与肝肾不足、脾胃虚弱、情志不遂、思虑太过等因素有关。本病病位在头部毛发，与肝、肾关系密切。基本病机为精血亏虚或气滞血瘀，血不养发。
""一定不要举例子"""
斑秃的病机,"斑秃的基本病机为精血亏虚或气滞血瘀，血不养发。
""一定不要举例子"""
斑秃的症状,"头发突然呈圆形或椭圆形成片脱落，边界清楚，数目不等，大小不一，皮肤平滑光亮，秃发边缘头发松动易脱；少数患者发损区可不断扩大，以致头发全部脱落，甚至累及眉毛、胡须、腋毛、阴毛等。
""一定不要举例子"""
斑秃的主症是什么,"头发突然呈圆形或椭圆形成片脱落，边界清楚，数目不等，大小不一，皮肤平滑光亮，秃发边缘头发松动易脱；少数患者发损区可不断扩大，以致头发全部脱落，甚至累及眉毛、胡须、腋毛、阴毛等。
""一定不要举例子"""
斑秃的证型,"若脱发范围由小而大，呈进行性加重，脱发区存留参差不齐、易于脱落残发，面色白，神疲乏力，心悸气短，少气懒言，舌淡，苔薄白，脉细弱，为气血两虚；
头发焦黄或花白，成片脱落，严重时可全部脱落，头晕耳鸣，五心潮热，失眠多梦，腰膝酸软，盗汗遗泄，舌红少苔，脉细数，为肝肾不足；
脱发前头痛或头皮刺痛，胸闷胁痛，夜寐噩梦，烦热难眠，妇女月经不调，舌质紫暗或有瘀斑，脉弦涩或细涩，为气滞血瘀；
脱发较快，头部烘热，烦躁易怒，舌红，苔少，脉细数，为血热生风。
""一定不要举例子"""
斑秃针灸如何治疗,"基本治疗
治法 养血祛风，活血化瘀。以局部阿是穴、督脉穴为主。
主穴 阿是穴 百会 风池 膈俞 太渊
配穴 气血两虚配足三里、三阴交；肝肾不足配肝俞、肾俞；气滞血瘀配太冲、血海；血热生风配血海、三阴交。
""一定不要举例子"""
斑秃针灸基本治疗是怎样的,"斑秃的基本治疗
治法：养血祛风，活血化瘀。以局部阿是穴、督脉穴为主。
主穴：阿是穴（指以压痛点或其他病理反应点作为针灸治疗的穴位）、 百会（在头顶正中线与两耳尖联线的交点处）、风池（在项部，当枕骨之下，与风府相平，胸锁乳突肌与斜方肌上端之间的凹陷处）、膈俞 （在背中，当第7胸椎棘突下，旁开1.5寸）、太渊（在腕掌侧横纹桡侧，桡动脉搏动处）。
配穴：气血两虚配足三里（在小腿前外侧，当犊鼻下3寸，距胫骨前缘一横指）、三阴交（在小腿内侧，当足内踝尖上3寸，胫骨内侧缘后方）；肝肾不足配肝俞（在背部，当第9胸椎棘突下，旁开1.5寸）、肾俞（在腰部当第2腰椎棘突下，旁开1.5寸。）；气滞血瘀配太冲（在足背侧，当第1跖骨间隙的后方凹陷处）、血海（屈膝，在大腿内侧，髌底内侧端上2寸，当股四头肌内侧头的隆起处）；血热生风配血海（屈膝，在大腿内侧，髌底内侧端上2寸，当股四头肌内侧头的隆起处）、三阴交（在小腿内侧，当足内踝尖上3寸，胫骨内侧缘后方）。
""一定不要举例子"""
痤疮的治法,"痤疮的治法是养血祛风，活血化瘀。以局部阿是穴、督脉穴为主。
""一定不要举例子"""
针灸治疗痤疮的选穴规律,"痤疮的针灸治疗选穴以局部阿是穴、督脉穴为主。
""一定不要举例子"""
针灸治疗痤疮的主穴,痤疮的针灸治疗选穴的主穴是：阿是穴（指以压痛点或其他病理反应点作为针灸治疗的穴位）、 百会（在头顶正中线与两耳尖联线的交点处）、风池（在项部，当枕骨之下，与风府相平，胸锁乳突肌与斜方肌上端之间的凹陷处）、膈俞 （在背中，当第7胸椎棘突下，旁开1.5寸）、太渊（在腕掌侧横纹桡侧，桡动脉搏动处）。
针灸治疗痤疮的配穴,"痤疮的针灸治疗选穴的配穴是：气血两虚配足三里（在小腿前外侧，当犊鼻下3寸，距胫骨前缘一横指）、三阴交（在小腿内侧，当足内踝尖上3寸，胫骨内侧缘后方）；肝肾不足配肝俞（在背部，当第9胸椎棘突下，旁开1.5寸）、肾俞（在腰部当第2腰椎棘突下，旁开1.5寸。）；气滞血瘀配太冲（在足背侧，当第1跖骨间隙的后方凹陷处）、血海（屈膝，在大腿内侧，髌底内侧端上2寸，当股四头肌内侧头的隆起处）；血热生风配血海（屈膝，在大腿内侧，髌底内侧端上2寸，当股四头肌内侧头的隆起处）、三阴交（在小腿内侧，当足内踝尖上3寸，胫骨内侧缘后方）。
""一定不要举例子"""
针灸治疗斑秃的操作方法,"斑秃针刺操作在患部阿是穴用皮肤针重叩至出血为度，或毫针围刺，余穴毫针常规刺。
""一定不要举例子"""
斑秃的其他治疗,"斑秃的其他治疗包括隔姜灸和穴位注射
（1）隔姜灸法：阿是穴（指以压痛点或其他病理反应点作为针灸治疗的穴位）。以灸至皮肤红晕为度，每日1次。
（2）穴位注射法：阿是穴（指以压痛点或其他病理反应点作为针灸治疗的穴位）、曲池（在肘横纹外侧端，屈肘，当尺泽与肱骨外上髁连线中点）、足三里（在小腿前外侧，当犊鼻下3寸，距胫骨前缘一横指）。局部消毒后，从脱发区边缘向中心平刺，注入维生素B12注射液0.5mL；曲池、足三里每穴注入三磷酸腺苷0.5mL，隔日1次。
""一定不要举例子"""
隔姜灸如何治疗斑秃,"隔姜灸治疗斑秃选取：阿是穴（指以压痛点或其他病理反应点作为针灸治疗的穴位）。以灸至皮肤红晕为度，每日1次。
""一定不要举例子"""
针灸治疗斑秃效果怎么样,针灸治疗斑秃有较好疗效。
穴位注射如何治疗斑秃,"阿是穴（指以压痛点或其他病理反应点作为针灸治疗的穴位）、曲池（在肘横纹外侧端，屈肘，当尺泽与肱骨外上髁连线中点）、足三里（在小腿前外侧，当犊鼻下3寸，距胫骨前缘一横指）。局部消毒后，从脱发区边缘向中心平刺，注入维生素B12注射液0.5mL；曲池、足三里每穴注入三磷酸腺苷0.5mL，隔日1次。
""一定不要举例子"""
斑秃的注意事项,"脱发区可配合用鲜姜片揉擦或涂以复方斑
蝥、旱莲草或侧柏叶酊剂。注意精神调理，切忌烦恼、悲观、忧愁，保持心情舒畅。
2.注意头发养护，讲究头发卫生，不用碱性太强的肥皂洗发，不滥用护发用品。
""一定不要举例子"""
